Query_ID,N_Value,M_Value,Iteration_Number,Success_Probability,Confidence_Threshold,Stopping_Iteration,Stopped
Q0036,500,29,2,0.8794,0.9,3,No
Q0036,500,29,3,0.9827,0.9,3,Yes
Q0037,500,32,1,0.4819,0.9,2,No
Q0037,500,32,2,0.9171,0.9,2,Yes
Q0038,500,50,1,0.676,0.9,2,No
Q0038,500,50,2,0.9986,0.9,2,Yes
Q0039,500,42,1,0.5961,0.9,2,No
Q0039,500,42,2,0.9899,0.9,2,Yes
Q0040,500,50,1,0.676,0.9,2,No
Q0040,500,50,2,0.9986,0.9,2,Yes
Q0041,500,18,1,0.2936,0.9,3,No
Q0041,500,18,2,0.6659,0.9,3,No
Q0041,500,18,3,0.946,0.9,3,Yes
Q0042,500,25,1,0.392,0.9,3,No
Q0042,500,25,2,0.8161,0.9,3,No
Q0042,500,25,3,0.9999,0.9,3,Yes
Q0043,500,13,1,0.2181,0.9,4,No
Q0043,500,13,2,0.5244,0.9,4,No
Q0043,500,13,3,0.8208,0.9,4,No
Q0043,500,13,4,0.9872,0.9,4,Yes
Q0044,500,19,1,0.3082,0.9,3,No
Q0044,500,19,2,0.6906,0.9,3,No
Q0044,500,19,3,0.9615,0.9,3,Yes
Q0045,500,15,1,0.2488,0.9,4,No
Q0045,500,15,2,0.5846,0.9,4,No
Q0045,500,15,3,0.881,0.9,4,No
Q0045,500,15,4,1.0,0.9,4,Yes
Q0046,500,16,1,0.2639,0.9,3,No
Q0046,500,16,2,0.6129,0.9,3,No
Q0046,500,16,3,0.9059,0.9,3,Yes
Q0047,500,10,1,0.1705,0.9,4,No
Q0047,500,10,2,0.4244,0.9,4,No
Q0047,500,10,3,0.7019,0.9,4,No
Q0047,500,10,4,0.9162,0.9,4,Yes
Q0048,500,14,1,0.2335,0.9,4,No
Q0048,500,14,2,0.5551,0.9,4,No
Q0048,500,14,3,0.8527,0.9,4,No
Q0048,500,14,4,0.9967,0.9,4,Yes
Q0049,500,1,1,0.0179,0.9,14,No
Q0049,500,1,2,0.0492,0.9,14,No
Q0049,500,1,3,0.0949,0.9,14,No
Q0049,500,1,4,0.1535,0.9,14,No
Q0049,500,1,5,0.2232,0.9,14,No
Q0049,500,1,6,0.3018,0.9,14,No
Q0049,500,1,7,0.3866,0.9,14,No
Q0049,500,1,8,0.4751,0.9,14,No
Q0049,500,1,9,0.5644,0.9,14,No
Q0049,500,1,10,0.6516,0.9,14,No
Q0049,500,1,11,0.734,0.9,14,No
Q0049,500,1,12,0.8089,0.9,14,No
Q0049,500,1,13,0.874,0.9,14,No
Q0049,500,1,14,0.9271,0.9,14,Yes
Q0050,500,4,1,0.0705,0.9,7,No
Q0050,500,4,2,0.1875,0.9,7,No
Q0050,500,4,3,0.3442,0.9,7,No
Q0050,500,4,4,0.5207,0.9,7,No
Q0050,500,4,5,0.6945,0.9,7,No
Q0050,500,4,6,0.8437,0.9,7,No
Q0050,500,4,7,0.9492,0.9,7,Yes
Q0051,500,2,1,0.0356,0.9,10,No
Q0051,500,2,2,0.0968,0.9,10,No
Q0051,500,2,3,0.1838,0.9,10,No
Q0051,500,2,4,0.2908,0.9,10,No
Q0051,500,2,5,0.4112,0.9,10,No
Q0051,500,2,6,0.5373,0.9,10,No
Q0051,500,2,7,0.661,0.9,10,No
Q0051,500,2,8,0.7744,0.9,10,No
